,M2 Supply,Can,Chi,Eur,HK,Jap,Kor,US
2009-01-31,,0.9605429416646609,1.0410916315856609,0.911012328572225,0.8662363340274613,0.8790041034016909,0.9444213439063491,0.9337884510939173
2009-02-28,1.0035424122255536,0.8951849160548448,1.1532364674283473,0.8516119190871752,0.8655809684401262,0.8180477856486916,0.901689058172469,0.8572179082913481
2009-03-31,1.0115219073411352,0.9422807204011201,1.1775293236573292,0.8262564887666444,0.8705524586021609,0.8707477458638402,0.9688886301317408,0.8673382015913347
2009-04-30,1.0119329722410288,1.0317454926589815,1.289544869633433,0.924559008364405,1.025049626446171,0.9424240105758461,1.0882939149426116,0.9580676104271072
2009-05-31,1.0189089853951059,1.1065911947348819,1.3937932072774752,0.9899909834529119,1.1842767120604014,1.0245855821471217,1.1454297459643947,1.0063490835659552
2009-06-30,1.0200696392300994,1.12757779237912,1.5016563453405103,0.990430823455193,1.2200389661644813,1.0650927145272018,1.1361415606225287,1.027496687559608
2009-07-31,1.0206499661475963,1.135881983806802,1.690308908230006,1.017545523442019,1.2791783287019916,1.0559078328431304,1.2098829469577912,1.0569791914641815
2009-08-31,1.0206257858593673,1.1774692509408196,1.504781712991875,1.0961675535748898,1.3405839152386576,1.1245288808776739,1.2902508893141507,1.1258354234453964
2009-09-30,1.0205411548505656,1.2462121840101046,1.503124225376763,1.1555798799922008,1.414594746819621,1.1117440029268533,1.3588733080189013,1.1837884654150932
2009-10-31,1.0238054937614853,1.2323068290155812,1.5572058404088,1.1534782117205857,1.452181084455609,1.0847766120116233,1.317503224496493,1.1882757416130554
2009-11-30,1.0274446271399553,1.2747388415109757,1.6941606976380326,1.1775236691315072,1.5074087327865389,1.0444327291371087,1.303219362472905,1.2332920132383423
2009-12-31,1.026828029790115,1.2791356854210967,1.6720658292497326,1.1932575730422479,1.4491518853706313,1.1221279990152921,1.3593964478749327,1.2508688419108043
2010-01-31,1.0222700454589415,1.2681169354185031,1.6001654600938677,1.2005729406644754,1.3976671187118441,1.1399465457388818,1.3488136417614822,1.253866760623768
2010-02-28,1.028278847083857,1.2689118050812704,1.574810237029696,1.174956043934725,1.3644867105376748,1.1018976941453993,1.3094318611307862,1.234628637285251
2010-03-31,1.027928232904536,1.3173149942032838,1.593716583741429,1.2426180459095435,1.4151955746298988,1.1720625829870588,1.3676770561666618,1.3106263568956715
2010-04-30,1.0316278170035784,1.3244143199391294,1.570173712999934,1.2515524735062762,1.4256994666075689,1.2029121290624076,1.4105815337733474,1.3467252500806797
2010-05-31,1.038265306122449,1.2933025281422585,1.3566361932490756,1.1690480972759079,1.3087561352485,1.0744057276723042,1.3242527033984555,1.2616478854620554
2010-06-30,1.0405624335042074,1.2737658174420672,1.315227427980395,1.184953194664573,1.3456081024388862,1.0502113575900767,1.3794221624900664,1.2157246508635595
2010-07-31,1.0417230873392007,1.2733382360958359,1.320068297932928,1.2083781314096158,1.3817707889855286,1.0303083126434482,1.4240975973519183,1.228069528891913
2010-08-31,1.047816519972918,1.2886101822962708,1.3634608898998835,1.210130288242407,1.394100139324468,0.9823805287959786,1.4288859969540177,1.2158201587897675
2010-09-30,1.0515765547925329,1.3423284120414885,1.3727232664821023,1.2482430787717473,1.4695123963974528,1.0251554860262981,1.4991620953425562,1.278594624376448
2010-10-31,1.057512815552761,1.3858112519852628,1.5453838611345483,1.2645856332517296,1.5733726678577633,1.0101512454351882,1.5454089627266623,1.3388390507702694
2010-11-30,1.060027565528581,1.4156644587180067,1.5121524871984393,1.2745352256149038,1.5677895172626828,1.073149383486417,1.5714965376162513,1.3655242002200527
2010-12-31,1.063860141212883,1.4604716744972712,1.4790560748711947,1.3257287349696039,1.5458280454251268,1.1172758599795487,1.650805607012508,1.4259308922270546
2011-01-31,1.0663990714769318,1.4812938112004073,1.4406323862862602,1.3498763941312957,1.6063000324701902,1.1345402623773788,1.7084625054574274,1.469018531010473
2011-02-28,1.0741125834219942,1.533325879836046,1.4909475970862258,1.3589582436304335,1.5392294756269524,1.1499213824046557,1.6130828085886768,1.5022913977905548
2011-03-31,1.0809314247025823,1.530110872153268,1.542460904334825,1.3090960953744097,1.5622776827914004,1.0482647573508257,1.6593320916399086,1.4944434083338436
2011-04-30,1.0883668633330108,1.513901532781597,1.5396031000406007,1.328931092947849,1.588648263812364,1.0537673838344308,1.7666873004272678,1.5269715873013474
2011-05-31,1.0969025050778602,1.4884501538155481,1.4606852922670737,1.3285745264473823,1.5459032189603974,1.046320614564723,1.7260679896130073,1.5212908444011994
2011-06-30,1.1060547441725501,1.4429609994383887,1.4182866027221273,1.283457789771839,1.487164627655346,1.050583142505611,1.7097615991031276,1.4837121154040882
2011-07-31,1.1260518425379626,1.4393343469045177,1.4282211354940526,1.2560862631932501,1.4756499883602907,1.072960793114712,1.7353378619369733,1.48634717846758
2011-08-31,1.1491681980849207,1.3674312068070413,1.3330047266187404,1.1040487825500331,1.335688937607963,0.9657398672149298,1.492830753328485,1.3349246006286917
2011-09-30,1.1516829480607405,1.3158672967443352,1.2749568219810494,1.0744900382719793,1.230080876851256,0.9312837505119035,1.4373433146526071,1.3227802276643161
2011-10-31,1.1557573266273329,1.3240272890580624,1.2641683160106216,1.1339094955913598,1.2583675258900644,0.9443506499205503,1.5180593577887316,1.3815639131480602
2011-11-30,1.1618749395492791,1.31851823255578,1.2630321619523115,1.109992389662806,1.2481953174640392,0.9191218734360705,1.505127485628528,1.3789860679584889
2011-12-31,1.1676298481477896,1.302450340738469,1.1529871826477833,1.1421140225582616,1.2444729086405846,0.9239939575533714,1.5172035972569273,1.4108841323445507
2012-01-31,1.1765523745043036,1.3606969906247897,1.1862748393160594,1.2099638696206918,1.3224822261962186,0.9387119381942027,1.5570747046326743,1.485535649905206
2012-02-29,1.183540477802495,1.3766760461449368,1.2404166517128883,1.25538494013965,1.428078056668376,1.0161325220175024,1.6463416424932757,1.5388104074624858
2012-03-31,1.1893195666892344,1.354131592915006,1.21744442427877,1.2571061914041761,1.394081471361335,1.0761843749672977,1.645506659988198,1.575940469275166
2012-04-30,1.1957031627816999,1.3292211760054065,1.238950452929175,1.2202106411507831,1.3824352116312537,1.0300430230700721,1.6202947686045321,1.5676437524850817
2012-05-31,1.2011074572008893,1.2636905097321254,1.2278964968161172,1.1546288731361214,1.27556517788518,0.9431413990874697,1.5056791311871456,1.5003246152439296
2012-06-30,1.2087846987136084,1.2767369227482581,1.1767143632879797,1.1832889395015824,1.2916142655341822,0.9517776537663303,1.517611496963036,1.5167558194912318
2012-07-31,1.2157002611471124,1.2672207029818146,1.1179755284089163,1.221387481302719,1.2903697680977562,0.9358315553568711,1.4799538951301745,1.526064569907668
2012-08-31,1.2229422574717088,1.3113328381601188,1.089240850317936,1.2755646614575111,1.3202926743752035,0.9673429671749781,1.562967603205927,1.5866717622049218
2012-09-30,1.232360479736918,1.3501694179593944,1.0764909615065636,1.2955874713098512,1.3733699833268214,0.9699320324546069,1.6150817313046248,1.6319458398309306
2012-10-31,1.2400256311055224,1.3510026432850033,1.0928245054784,1.2887998458351935,1.430226337002988,0.9547692565713188,1.573355019681621,1.6106072438534895
2012-11-30,1.247678692330012,1.3278392318560555,1.0599619983755793,1.2927107792564378,1.4551643857832737,0.9879022072195204,1.5593036553495336,1.576398724009905
2012-12-31,1.2636014121288321,1.3613273297072581,1.1347675152163288,1.341020406457328,1.5176000326897534,1.0922813827117979,1.624750563245294,1.6263605523460105
