date,m2(U$ bn),btc/U$ price,btc_marketcap(U$ bn)
01/03/2014,11210.8,559.79,6.98
01/04/2014,11263.1,478.38,6.02
01/05/2014,11329.6,457.76,5.82
01/06/2014,11380.4,630.23,8.09
01/07/2014,11437.4,640.81,8.31
01/08/2014,11466.5,594.92,7.79
01/09/2014,11500.2,474.88,6.28
01/10/2014,11562.1,383.61,5.12
01/11/2014,11598.2,325.75,4.38
01/12/2014,11677.5,379.24,5.14
01/01/2015,11747.4,314.25,4.30
01/02/2015,11875.2,226.97,3.13
01/03/2015,11891.8,260.2,3.62
01/04/2015,11931.1,247.27,3.46
01/05/2015,11961.4,232.08,3.28
01/06/2015,12006.5,222.93,3.17
01/07/2015,12055.9,258.62,3.71
01/08/2015,12104.6,281.6,4.07
01/09/2015,12158.6,228.12,3.32
01/10/2015,12196.5,237.55,3.49
01/11/2015,12280.9,325.43,4.81
01/12/2015,12344.3,362.49,5.40
01/01/2016,12475.9,434.33,6.53
01/02/2016,12556.9,373.06,5.65
01/03/2016,12621.1,435.12,6.64
01/04/2016,12701.5,417.96,6.43
01/05/2016,12768.3,451.88,7.00
01/06/2016,12835.4,536.92,8.38
01/07/2016,12894,676.3,10.63
01/08/2016,12973.5,606.27,9.57
01/09/2016,13032.8,572.3,9.07
01/10/2016,13105.6,613.98,9.76
01/11/2016,13180.2,729.79,11.64
01/12/2016,13220.3,756.77,12.12
01/01/2017,13295.3,998.33,16.05
01/02/2017,13365.9,989.02,15.96
01/03/2017,13435.2,1222.5,19.79
01/04/2017,13493.2,1080.5,17.56
01/05/2017,13544,1421.6,23.18
01/06/2017,13571.3,2407.88,39.41
01/07/2017,13628.1,2434.55,39.98
01/08/2017,13677.1,2718.26,44.80
01/09/2017,13718.7,4892.01,80.91
01/10/2017,13771.7,4403.74,73.09
01/11/2017,13806.1,6767.31,113.00
01/12/2017,13858.7,10975.6,183.00
01/01/2018,13876.1,13657.2,229.00
01/02/2018,13918.7,9170.54,154.00
01/03/2018,13975.1,10951,185.00
01/04/2018,14005.5,6844.23,116.00
01/05/2018,14070.6,9119.01,155.00
01/06/2018,14130.3,7541.45,129.00
01/07/2018,14159.4,6385.82,109.00
01/08/2018,14201.8,7624.91,131.00
01/09/2018,14232.4,7193.25,124.00
01/10/2018,14239.7,6589.62,114.00
01/11/2018,14258.3,6377.78,111.00
01/12/2018,14377.2,4214.67,73.35
01/01/2019,14446.8,3843.52,67.10
01/02/2019,14489.8,3487.95,61.09
01/03/2019,14536.7,3859.58,67.80
01/04/2019,14572.7,4158.18,73.27
01/05/2019,14672.5,5402.7,95.50
01/06/2019,14791.2,8564.02,152.00
01/07/2019,14862.1,10583.13,188.00
01/08/2019,14938.8,10399.67,186.00
01/09/2019,15030.1,9757.97,175.00
01/10/2019,15156.7,8343.28,150.00
01/11/2019,15254.4,9261.1,167.00
01/12/2019,15329.1,7424.29,134.00
01/01/2020,15410,7200.17,131.00
01/02/2020,15473.4,9392.88,171.00
01/03/2020,16014.3,8562.45,156.00
01/04/2020,17042.9,6606.78,121.00
01/05/2020,17893,8864.77,163.00
01/06/2020,18179.8,10167.27,187.00
01/07/2020,18321.5,9228.33,170.00
01/08/2020,18384.8,11759.59,217.00
01/09/2020,18609.6,11970.48,221.00
01/10/2020,18759.3,10619.45,197.00
01/11/2020,18974.4,13737.11,255.00
01/12/2020,19145.8,18803,349.00
01/01/2021,19400.1,29374.15,546.00
01/02/2021,19669.8,33537.18,624.00
