DATE,M2SL
2009-01-01,8271.2
2009-02-01,8300.5
2009-03-01,8366.5
2009-04-01,8369.9
2009-05-01,8427.6
2009-06-01,8437.2
2009-07-01,8442.0
2009-08-01,8441.8
2009-09-01,8441.1
2009-10-01,8468.1
2009-11-01,8498.2
2009-12-01,8493.1
2010-01-01,8455.4
2010-02-01,8505.1
2010-03-01,8502.2
2010-04-01,8532.8
2010-05-01,8587.7
2010-06-01,8606.7
2010-07-01,8616.3
2010-08-01,8666.7
2010-09-01,8697.8
2010-10-01,8746.9
2010-11-01,8767.7
2010-12-01,8799.4
2011-01-01,8820.4
2011-02-01,8884.2
2011-03-01,8940.6
2011-04-01,9002.1
2011-05-01,9072.7
2011-06-01,9148.4
2011-07-01,9313.8
2011-08-01,9505.0
2011-09-01,9525.8
2011-10-01,9559.5
2011-11-01,9610.1
2011-12-01,9657.7
2012-01-01,9731.5
2012-02-01,9789.3
2012-03-01,9837.1
2012-04-01,9889.9
2012-05-01,9934.6
2012-06-01,9998.1
2012-07-01,10055.3
2012-08-01,10115.2
2012-09-01,10193.1
2012-10-01,10256.5
2012-11-01,10319.8
2012-12-01,10451.5
2013-01-01,10477.0
2013-02-01,10489.1
2013-03-01,10555.8
2013-04-01,10590.3
2013-05-01,10630.1
2013-06-01,10682.5
2013-07-01,10728.9
2013-08-01,10783.5
2013-09-01,10835.3
2013-10-01,10948.7
2013-11-01,10954.1
2013-12-01,11020.3
2014-01-01,11076.6
2014-02-01,11169.3
2014-03-01,11207.6
2014-04-01,11259.8
2014-05-01,11326.3
2014-06-01,11377.2
2014-07-01,11434.0
2014-08-01,11462.9
2014-09-01,11496.7
2014-10-01,11558.6
2014-11-01,11594.7
2014-12-01,11674.0
2015-01-01,11743.9
2015-02-01,11871.7
2015-03-01,11888.1
2015-04-01,11927.6
2015-05-01,11957.9
2015-06-01,12002.9
2015-07-01,12052.0
2015-08-01,12100.6
2015-09-01,12154.6
2015-10-01,12192.5
2015-11-01,12277.0
2015-12-01,12340.1
2016-01-01,12471.4
2016-02-01,12552.3
2016-03-01,12616.6
2016-04-01,12697.0
2016-05-01,12763.7
2016-06-01,12830.6
2016-07-01,12889.1
2016-08-01,12968.2
2016-09-01,13027.4
2016-10-01,13099.7
2016-11-01,13174.1
2016-12-01,13214.2
2017-01-01,13288.7
2017-02-01,13359.2
2017-03-01,13428.6
2017-04-01,13486.6
2017-05-01,13537.3
2017-06-01,13564.7
2017-07-01,13621.8
2017-08-01,13671.4
2017-09-01,13714.4
2017-10-01,13767.6
2017-11-01,13802.4
2017-12-01,13854.8
2018-01-01,13872.0
2018-02-01,13914.6
2018-03-01,13971.2
2018-04-01,14001.3
2018-05-01,14066.0
2018-06-01,14125.8
2018-07-01,14155.2
2018-08-01,14197.7
2018-09-01,14228.4
2018-10-01,14235.8
2018-11-01,14254.9
2018-12-01,14373.9
2019-01-01,14443.3
2019-02-01,14486.2
2019-03-01,14533.5
2019-04-01,14568.9
2019-05-01,14668.4
2019-06-01,14787.0
2019-07-01,14857.9
2019-08-01,14935.2
2019-09-01,15026.6
2019-10-01,15153.1
2019-11-01,15251.3
2019-12-01,15325.8
2020-01-01,15406.8
2020-02-01,15470.4
2020-03-01,16011.4
2020-04-01,17039.1
2020-05-01,17889.2
2020-06-01,18175.7
2020-07-01,18316.6
2020-08-01,18378.5
2020-09-01,18601.6
2020-10-01,18747.9
2020-11-01,18958.7
2020-12-01,19129.5
2021-01-01,19393.2
2021-02-01,19665.4
2021-03-01,19913.3
2021-04-01,20138.3
2021-05-01,20402.2
2021-06-01,20428.8
2021-07-01,20578.1
2021-08-01,20831.5
2021-09-01,20994.2
2021-10-01,21187.1
